Theme,Ticker,Company,Reason,Direction,Role
Space,ASTS,AST SpaceMobile,Direct-to-handset satellite model with major carrier partners; successful test satellites create upside if execution and financing risks are managed.,Long,High-beta
Space,RKLB,Rocket Lab,"Most credible commercial small-launch provider after SpaceX, with a growing manifest and Neutron in development, leveraged to rising launch demand.",Long,Core
Space,LHX,L3Harris,"Defense and space systems prime with recurring government contracts, providing cash-flow stability to balance higher-beta pure-play space names.",Long,Core
Space,IRDM,Iridium Communications,"Established satellite communications operator with an active constellation and stable service revenue, offering lower-volatility space exposure.",Long,Core
Space,LMT,Lockheed Martin,"Major defense prime with significant space segment exposure via missiles, satellites and launch partnerships, providing a stable cash-flow anchor in the theme.",Long,Defensive
Space,NOC,Northrop Grumman,"Key contractor for national-security space and missile-defense programs, giving exposure to government space budgets with strong balance sheet and backlog.",Long,Defensive
Space,AIR,AAR Corp,"Aerospace services and MRO provider that benefits indirectly from increased flight activity, logistics and defense demand linked to space and aerospace cycles.",Long,Defensive
Space,KTOS,Kratos Defense & Security,"Specialized defense and space contractor focused on drones and satellite communications, offering higher growth but more execution risk than large primes.",Long,High-beta
Space,VSAT,Viasat,"High-debt satellite broadband operator facing intense competition and execution risk on new constellations, making it a candidate short against stronger operators.",Short,Core
Space,GSAT,Globalstar,Narrow product set and dependence on a limited number of large customers make its equity highly speculative versus more diversified satcom peers.,Short,High-beta
Space,SPCE,Virgin Galactic,Tourism-only model with minimal revenue and high cash burn; a classic concept stock to short versus profitable aerospace and defense names.,Short,High-beta
Space,MNTS,Momentus,"In-space transport concept with severe funding, regulatory and execution risks, suitable as a high-beta short leg within the space basket.",Short,High-beta
Space,DXYZ,Destiny Tech 100,Broad tech exposure vehicle sometimes traded as a speculative proxy for innovation themes; not a pure space play and can be shorted as a froth indicator.,Short,High-beta
Space,USAR,U.S. Antimony,"Identified as a critical domestic supplier of antimony, a strategic mineral essential for munitions, night-vision, and infrared sensors in defense/space applications.",Long,High-beta
Space,BWXT,BWX Technologies,"Added its role as the prime contractor for NASA/DARPA�s nuclear thermal propulsion (DRACO) project, which is key for future deep space transit.",Long,Core
Space,PLTR,Palantir,Clarified its specific role in Space as a provider of Data-as-a-Service (Warp Core) to the U.S. Space Force for satellite command and control.,Long,High-beta
Space,LUNR,Intuitive Machines,"Lunar services and lander business with binary contract outcomes and limited diversification, appropriate as a speculative short against core holdings.",Short,High-beta
